event,meet,stroke,gender,distance,records,entries
14,Tyr Pro Swim Series At Mesa,Backstroke,Women,100,"[['World', '58.10', '07/25/2017', 'Kylie Masse', 'CAN'], ['American', '58.33', '07/30/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '58.57', '06/30/2017', 'Kathleen Baker', 'Team Elite-NC'], ['World', '58.10', '07/25/2017', 'Kylie Masse', 'CAN'], ['American', '58.33', '07/30/2012', 'Missy Franklin', 'USA Olympic Team'], ['U.S. Open', '58.57', '06/30/2017', 'Kathleen Baker', 'Team Elite-NC']]",[]
15,Tyr Pro Swim Series At Mesa,Backstroke,Men,100,"[['World', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '07/08/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '07/08/2009', 'Aaron Peirsol', 'Longhorn']]",[]
16,Tyr Pro Swim Series At Mesa,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '07/30/2009', 'Mary DeScenza', 'USA'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '07/30/2009', 'Mary DeScenza', 'USA']]",[]
17,Tyr Pro Swim Series At Mesa,Butterfly,Men,200,"[['World', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '07/02/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['American', '1:51.51', '07/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '07/02/2008', 'Michael Phelps', 'Club Wolverine']]",[]
18,Tyr Pro Swim Series At Mesa,Breaststroke,Women,100,"[['World', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '08/07/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '08/07/2009', 'Jessica Hardy', 'Trojan']]",[]
19,Tyr Pro Swim Series At Mesa,Breaststroke,Men,100,"[['World', '57.13', '08/07/2016', 'Adam Peaty', 'GBR'], ['American', '58.64', '07/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '06/30/2017', 'Kevin Cordes', 'Unattached-SE'], ['World', '57.13', '08/07/2016', 'Adam Peaty', 'GBR'], ['American', '58.64', '07/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '06/30/2017', 'Kevin Cordes', 'Unattached-SE']]",[]
20,Tyr Pro Swim Series At Mesa,Freestyle,Women,100,"[['World', '51.71', '07/23/2017', 'Sarah Sjostrom', 'Sweden'], ['American', '52.27', '07/28/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '52.81', '06/27/2017', 'Mallory Comerford', 'Univ Louisville-'], ['World', '51.71', '07/23/2017', 'Sarah Sjostrom', 'Sweden'], ['American', '52.27', '07/28/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '52.81', '06/27/2017', 'Mallory Comerford', 'Univ Louisville-']]",[]
21,Tyr Pro Swim Series At Mesa,Freestyle,Men,100,"[['World', '46.91', '07/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.17', '07/27/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.58', '07/02/2008', 'Jason Lezak', 'Rose Bowl'], ['World', '46.91', '07/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.17', '07/27/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '47.58', '07/02/2008', 'Jason Lezak', 'Rose Bowl']]",[]
22,Tyr Pro Swim Series At Mesa,IM,Women,200,"[['World', '2:06.12', '08/03/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '07/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.66', '05/17/2015', 'Katinka Hosszu', 'HUN'], ['World', '2:06.12', '08/03/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '07/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.66', '05/17/2015', 'Katinka Hosszu', 'HUN']]",[]
23,Tyr Pro Swim Series At Mesa,IM,Men,200,"[['World', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '07/10/2009', 'Ryan Lochte', 'Daytona Beach'], ['World', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '07/10/2009', 'Ryan Lochte', 'Daytona Beach']]",[]
24,Tyr Pro Swim Series At Mesa,Freestyle,Men,400,"[['World', '3:40.07', '07/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '08/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '06/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '07/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '08/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '06/29/2008', 'Larsen Jensen', 'Trojan']]",[]
25,Tyr Pro Swim Series At Mesa,Butterfly,Women,50,"[['World', '24.43', '07/25/2017', 'Sarah Sjostrom', 'SWE'], ['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN'], ['World', '24.43', '07/25/2017', 'Sarah Sjostrom', 'SWE'], ['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN'], ['World', '24.43', '07/25/2017', 'Sarah Sjostrom', 'SWE'], ['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN'], ['World', '24.43', '07/25/2017', 'Sarah Sjostrom', 'SWE'], ['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN'], ['World', '24.43', '07/25/2017', 'Sarah Sjostrom', 'SWE'], ['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN']]",[]
26,Tyr Pro Swim Series At Mesa,Butterfly,Men,50,"[['World', '22.43', '04/05/2009', 'Rafael Munzip', 'ESP'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays'], ['World', '22.43', '04/05/2009', 'Rafael Munzip', 'ESP'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays'], ['World', '22.43', '04/05/2009', 'Rafael Munzip', 'ESP'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays'], ['World', '22.43', '04/05/2009', 'Rafael Munzip', 'ESP'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays'], ['World', '22.43', '04/05/2009', 'Rafael Munzip', 'ESP'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays']]",[]
27,Tyr Pro Swim Series At Mesa,Backstroke,Women,50,"[['World', '27.06', '07/30/2009', 'Jing Zhao', 'China'], ['American', '27.48', '07/26/2017', 'Kathleen Baker', 'USA'], ['U.S. Open', '27.51', '06/19/2015', 'Natalie Coughlin', 'Cal Aquatics'], ['World', '27.06', '07/30/2009', 'Jing Zhao', 'China'], ['American', '27.48', '07/26/2017', 'Kathleen Baker', 'USA'], ['U.S. Open', '27.51', '06/19/2015', 'Natalie Coughlin', 'Cal Aquatics'], ['World', '27.06', '07/30/2009', 'Jing Zhao', 'China'], ['American', '27.48', '07/26/2017', 'Kathleen Baker', 'USA'], ['U.S. Open', '27.51', '06/19/2015', 'Natalie Coughlin', 'Cal Aquatics'], ['World', '27.06', '07/30/2009', 'Jing Zhao', 'China'], ['American', '27.48', '07/26/2017', 'Kathleen Baker', 'USA'], ['U.S. Open', '27.51', '06/19/2015', 'Natalie Coughlin', 'Cal Aquatics'], ['World', '27.06', '07/30/2009', 'Jing Zhao', 'China'], ['American', '27.48', '07/26/2017', 'Kathleen Baker', 'USA'], ['U.S. Open', '27.51', '06/19/2015', 'Natalie Coughlin', 'Cal Aquatics']]",[]
28,Tyr Pro Swim Series At Mesa,Backstroke,Men,50,"[['World', '24.04', '08/02/2009', 'Liam Tancock', 'GBR'], ['American', '24.33', '12/05/2008', 'Randall Bal', 'USA'], ['U.S. Open', '24.36', '08/06/2015', 'Junya Koga', 'Club Wolverine'], ['World', '24.04', '08/02/2009', 'Liam Tancock', 'GBR'], ['American', '24.33', '12/05/2008', 'Randall Bal', 'USA'], ['U.S. Open', '24.36', '08/06/2015', 'Junya Koga', 'Club Wolverine'], ['World', '24.04', '08/02/2009', 'Liam Tancock', 'GBR'], ['American', '24.33', '12/05/2008', 'Randall Bal', 'USA'], ['U.S. Open', '24.36', '08/06/2015', 'Junya Koga', 'Club Wolverine'], ['World', '24.04', '08/02/2009', 'Liam Tancock', 'GBR'], ['American', '24.33', '12/05/2008', 'Randall Bal', 'USA'], ['U.S. Open', '24.36', '08/06/2015', 'Junya Koga', 'Club Wolverine'], ['World', '24.04', '08/02/2009', 'Liam Tancock', 'GBR'], ['American', '24.33', '12/05/2008', 'Randall Bal', 'USA'], ['U.S. Open', '24.36', '08/06/2015', 'Junya Koga', 'Club Wolverine']]",[]
29,Tyr Pro Swim Series At Mesa,Freestyle,Women,400,"[['World', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:58.44', '06/30/2017', 'Katie Ledecky', 'Stanford Swimmin'], ['World', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:58.44', '06/30/2017', 'Katie Ledecky', 'Stanford Swimmin']]",[]
30,Tyr Pro Swim Series At Mesa,Breaststroke,Women,50,"[['World', '24.90', '07/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['World', '24.90', '07/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['World', '24.90', '07/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['World', '24.90', '07/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['World', '24.90', '07/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '07/30/2017', 'Lilly King', 'USA']]",[]
31,Tyr Pro Swim Series At Mesa,Breaststroke,Men,50,"[['World', '25.95', '07/25/2017', 'Adam Peaty', 'GBR'], ['American', '26.76', '08/04/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.86', '03/03/2017', 'Adam Peaty', 'GBR'], ['World', '25.95', '07/25/2017', 'Adam Peaty', 'GBR'], ['American', '26.76', '08/04/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.86', '03/03/2017', 'Adam Peaty', 'GBR'], ['World', '25.95', '07/25/2017', 'Adam Peaty', 'GB R'], ['American', '26.76', '08/04/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.86', '03/03/2017', 'Adam Peaty', 'GBR'], ['World', '25.95', '07/25/2017', 'Adam Peaty', 'GB R'], ['American', '26.76', '08/04/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.86', '03/03/2017', 'Adam Peaty', 'GBR'], ['World', '25.95', '07/25/2017', 'Adam Peaty', 'GB R'], ['American', '26.76', '08/04/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.86', '03/03/2017', 'Adam Peaty', 'GBR']]",[]
32,Tyr Pro Swim Series At Mesa,Freestyle,Women,50,"[['World', '23.67', '07/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '07/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.13', '05/18/2008', 'Cate Campbell', 'AUS'], ['World', '23.67', '07/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '07/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.13', '05/18/2008', 'Cate Campbell', 'AUS'], ['World', '23.73', '08/01/2009', 'Britta Steffen', 'GER'], ['American', '23.97', '07/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.13', '05/18/2008', 'Cate Campbell', 'AUS'], ['World', '23.73', '08/01/2009', 'Britta Steffen', 'GER'], ['American', '23.97', '07/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.13', '05/18/2008', 'Cate Campbell', 'AUS'], ['World', '23.73', '08/01/2009', 'Britta Steffen', 'GER'], ['American', '23.97', '07/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.13', '05/18/2008', 'Cate Campbell', 'AUS']]",[]
33,Tyr Pro Swim Series At Mesa,Freestyle,Men,50,"[['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.15', '07/29/2017', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.15', '07/29/2017', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.15', '07/29/2017', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.15', '07/29/2017', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.15', '07/29/2017', 'Caeleb Dressel', 'USA']]",[]
34,Tyr Pro Swim Series At Mesa,Mystery IM,Women,200,"[['World', '2:06.12', '08/03/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '07/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.66', '05/17/2015', 'Katinka Hosszu', 'HUN']]",[]
35,Tyr Pro Swim Series At Mesa,Mystery IM,Men,200,"[['World', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '07/10/2009', 'Ryan Lochte', 'Daytona Beach']]",[]
36,Tyr Pro Swim Series At Mesa,Freestyle,Women,1500,"[['World', '15:25.48', '08/04/2015', 'Katie Ledecky', 'USA'], ['American', '15:25.48', '08/04/2015', 'Katie Ledecky', 'USA']]",[]
37,Tyr Pro Swim Series At Mesa,Freestyle,Men,1500,"[['World', '14:31.02', '08/04/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '08/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '07/06/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
