event,meet,stroke,gender,distance,records,entries
11,2022 Toyota Us Open,Medley Relay,Women,400,"[['U.S. Open', '3:55.23', '8/22/2010', 'USA Pan', 'Pacific Team']]",[]
12,2022 Toyota Us Open,Medley Relay,Men,400,"[['World', '3:26.78', '7/31/2021', 'USA Olympic', 'Team'], ['American', '3:26.78', '7/31/2021', 'USA Olympic', 'Team'], ['U.S. Open', '3:32.48', '8/18/2010', 'USA Pan', 'Pacific Team']]",[]
13,2022 Toyota Us Open,IM,Women,400,"[['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:28.61', '12/2/2022', 'Summer McIntosh', 'SYS-FL'], ['World', '4:26.36', '8/6/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '6/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:28.61', '12/2/2022', 'Summer McIntosh', 'SYS-FL']]",[]
14,2022 Toyota Us Open,IM,Men,400,"[['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '8/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '6/29/2008', 'Michael Phelps', 'Club Wolverine']]",[]
15,2022 Toyota Us Open,Butterfly,Women,100,"[['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.64', '6/19/2022', 'Torri Huske', 'USA'], ['U.S. Open', '55.66', '6/14/2021', 'Torri Huske', 'Arlington Aquati'], ['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.64', '6/19/2022', 'Torri Huske', 'USA'], ['U.S. Open', '55.66', '6/14/2021', 'Torri Huske', 'Arlington Aquati']]",[]
16,2022 Toyota Us Open,Butterfly,Men,100,"[['World', '49.45', '7/30/2021', 'Caeleb Dressel', 'USA'], ['American', '49.45', '7/30/2021', 'Caeleb Dressel', 'USA'], ['U.S. Open', '49.76', '6/18/2021', 'Caeleb Dressel', 'Gator Swim Club-'], ['World', '49.45', '7/30/2021', 'Caeleb Dressel', 'USA'], ['American', '49.45', '7/30/2021', 'Caeleb Dressel', 'USA'], ['U.S. Open', '49.76', '6/18/2021', 'Caeleb Dressel', 'Gator Swim Club-']]",[]
17,2022 Toyota Us Open,Freestyle,Women,200,"[['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore']]",[]
18,2022 Toyota Us Open,Freestyle,Men,200,"[['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]",[]
19,2022 Toyota Us Open,Breaststroke,Women,100,"[['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]",[]
20,2022 Toyota Us Open,Breaststroke,Men,100,"[['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S']]",[]
