event,meet,stroke,gender,distance,records,entries
1,Complete Meet Results Aps Atlanta 2017,Freestyle,Women,1500,"[['World', '15:25.48', '8/4/2015', 'Katie Ledecky', 'USA'], ['American', '15:25.48', '8/4/2015', 'Katie Ledecky', 'USA']]",[]
2,Complete Meet Results Aps Atlanta 2017,Freestyle,Men,800,"[['World', '7:32.12', '7/29/2009', 'Lin Zhang', 'CHN'], ['American', '7:43.60', '7/31/2013', 'Michael McBroom', 'USA'], ['U.S. Open', '7:46.78', '9/29/2013', 'Connor Jaeger', 'Michigan']]",[]
3,Complete Meet Results Aps Atlanta 2017,Butterfly,Women,100,"[['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE'], ['World', '55.48', '8/7/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '7/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '1/15/2016', 'Sarah Sjostrom', 'SWE']]",[]
4,Complete Meet Results Aps Atlanta 2017,Butterfly,Men,100,"[['World', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore'], ['World', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '8/1/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '7/9/2009', 'Michael Phelps', 'North Baltimore']]",[]
5,Complete Meet Results Aps Atlanta 2017,Breaststroke,Women,200,"[['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:19.11', '8/1/2013', 'Rikke Moeller', 'Pedersen DEN'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan']]",[]
6,Complete Meet Results Aps Atlanta 2017,Breaststroke,Men,200,"[['World', '2:06.67', '1/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:06.67', '1/29/2017', 'Ippei Watanabe', 'JPN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
7,Complete Meet Results Aps Atlanta 2017,Freestyle,Women,100,"[['American', '52.70', '8/11/2016', 'Simone Manuel', 'USA'], ['U.S. Open', '53.12', '1/15/2016', 'Sarah Sjostrom', 'SWE'], ['American', '52.70', '8/11/2016', 'Simone Manuel', 'USA'], ['U.S. Open', '53.12', '1/15/2016', 'Sarah Sjostrom', 'SWE']]",[]
8,Complete Meet Results Aps Atlanta 2017,Freestyle,Men,100,"[['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.33', '7/30/2009', 'David Walters', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl'], ['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '47.33', '7/30/2009', 'David Walters', 'USA'], ['U.S. Open', '47.58', '7/2/2008', 'Jason Lezak', 'Rose Bowl']]",[]
9,Complete Meet Results Aps Atlanta 2017,Freestyle,Women,400,"[['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA']]",[]
10,Complete Meet Results Aps Atlanta 2017,Freestyle,Men,400,"[['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '7/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan']]",[]
