event,meet,stroke,gender,distance,records,entries
13,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Women,200,"[['World', '1:52.85', '7/26/2023', ""Molly O'Callahan"", 'AUS'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.13', '3/3/2023', 'Summer McIntosh', 'Sarasota Sharks-'], ['World', '1:52.85', '7/26/2023', ""Molly O'Callahan"", 'AUS'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.13', '3/3/2023', 'Summer McIntosh', 'Sarasota Sharks-']]",[]
14,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Men,200,"[['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]",[]
15,2023 Toyota Us Open Championships Complete Competition Results,Breaststroke,Women,100,"[['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]",[]
16,2023 Toyota Us Open Championships Complete Competition Results,Breaststroke,Men,100,"[['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S']]",[]
17,2023 Toyota Us Open Championships Complete Competition Results,Backstroke,Women,100,"[['World', '57.33', '10/21/2023', 'Kaylee McKeown', 'AUS'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '57.71', '6/30/2023', 'Regan Smith', 'Sun Devil Swimmi'], ['World', '57.33', '10/21/2023', 'Kaylee McKeown', 'AUS'], ['American', '57.57', '7/28/2019', 'Regan Smith', 'USA'], ['U.S. Open', '57.71', '6/30/2023', 'Regan Smith', 'Sun Devil Swimmi']]",[]
18,2023 Toyota Us Open Championships Complete Competition Results,Backstroke,Men,100,"[['World', '51.60', '6/20/2022', 'Thomas Ceccon', 'ITA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.60', '6/20/2022', 'Thomas Ceccon', 'ITA'], ['American', '51.85', '8/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '7/8/2009', 'Aaron Peirsol', 'Longhorn']]",[]
19,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Women,1500,"[['World', '15:20.48', '5/16/2018', 'Katie Ledecky', 'USA'], ['American', '15:20.48', '5/16/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '5/16/2018', 'Katie Ledecky', 'Stanford']]",[]
20,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:31.59', '7/30/2023', 'Bobby Finke', 'USA'], ['U.S. Open', '14:42.81', '6/27/2023', 'Bobby Finke', 'Saint Petersburg']]",[]
21,2023 Toyota Us Open Championships Complete Competition Results,Backstroke,Women,200,"[['World', '2:03.14', '3/10/2023', 'Kaylee McKeown', 'AUS'], ['American', '2:03.35', '7/23/2019', 'Regan Smith', 'USA'], ['U.S. Open', '2:03.80', '6/28/2023', 'Regan Smith', 'Sun Devil Swimmi'], ['World', '2:03.14', '3/10/2023', 'Kaylee McKeown', 'AUS'], ['American', '2:03.35', '7/23/2019', 'Regan Smith', 'USA'], ['U.S. Open', '2:03.80', '6/28/2023', 'Regan Smith', 'Sun Devil Swimmi']]",[]
22,2023 Toyota Us Open Championships Complete Competition Results,Backstroke,Men,200,"[['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['American', '1:51.92', '7/31/2009', 'Aaron Peirsol', 'USA'], ['U.S. Open', '1:53.08', '7/11/2009', 'Aaron Peirsol', 'Longhorn']]",[]
23,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Women,100,"[['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin']]",[]
24,2023 Toyota Us Open Championships Complete Competition Results,Freestyle,Men,100,"[['World', '46.86', '8/13/2022', 'David Popovici', 'ROU'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA'], ['World', '46.86', '8/13/2022', 'David Popovici', 'ROU'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA']]",[]
25,2023 Toyota Us Open Championships Complete Competition Results,Breaststroke,Women,200,"[['World', '2:17.55', '4/21/2023', 'Evgeniia Chikunova', 'RUS'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan'], ['World', '2:17.55', '4/21/2023', 'Evgeniia Chikunova', 'RUS'], ['American', '2:19.59', '8/2/2012', 'Rebecca Soni', 'USA Olympic Team'], ['U.S. Open', '2:20.38', '7/11/2009', 'Rebecca Soni', 'Trojan']]",[]
26,2023 Toyota Us Open Championships Complete Competition Results,Breaststroke,Men,200,"[['World', '2:05.48', '7/28/2023', 'Haiyang Qin', 'CHN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['World', '2:05.48', '7/28/2023', 'Haiyang Qin', 'CHN'], ['American', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics'], ['U.S. Open', '2:07.17', '6/30/2016', 'Josh Prenot', 'Cal Aquatics']]",[]
27,2023 Toyota Us Open Championships Complete Competition Results,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:03.87', '6/4/2023', 'Regan Smith', 'Sun Devil'], ['U.S. Open', '2:03.87', '6/4/2023', 'Regan Smith', 'Sun Devil'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:03.87', '6/4/2023', 'Regan Smith', 'Sun Devil'], ['U.S. Open', '2:03.87', '6/4/2023', 'Regan Smith', 'Sun Devil']]",[]
28,2023 Toyota Us Open Championships Complete Competition Results,Butterfly,Men,200,"[['World', '1:50.34', '6/21/2022', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:50.34', '6/21/2022', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]",[]
