event,meet,stroke,gender,distance,records,entries
13,2018 Phillips 66 Nationals  ,Butterfly,Women,50,"[['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN'], ['American', '25.48', '07/29/2017', 'Kelsi Worrell', 'USA'], ['U.S. Open', '25.46', '08/26/2017', 'Rikako Ikee', 'JPN']]",[]
14,2018 Phillips 66 Nationals  ,Butterfly,Men,50,"[['World', '22.27', '07/01/2018', 'Andriy Govorov', 'UKR'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays'], ['World', '22.27', '07/01/2018', 'Andriy Govorov', 'UKR'], ['American', '22.76', '07/23/2017', 'Caeleb Dressel', 'USA'], ['U.S. Open', '22.91', '07/18/2009', 'Bryan Lundquist', 'Rays']]",[]
15,2018 Phillips 66 Nationals  ,IM,Women,400,"[['World', '4:26.36', '08/06/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '06/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '06/19/2015', 'Katinka Hosszu', 'HUN'], ['World', '4:26.36', '08/06/2016', 'Katinka Hosszu', 'HUN'], ['American', '4:31.12', '06/29/2008', 'Katie Hoff', 'North Baltimore'], ['U.S. Open', '4:31.07', '06/19/2015', 'Katinka Hosszu', 'HUN']]",[]
16,2018 Phillips 66 Nationals  ,IM,Men,400,"[['World', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '06/29/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['American', '4:03.84', '08/10/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '4:05.25', '06/29/2008', 'Michael Phelps', 'Club Wolverine']]",[]
17,2018 Phillips 66 Nationals  ,Butterfly,Women,100,"[['World', '55.48', '08/07/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '07/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '01/15/2016', 'Sarah Sjostrom', 'SWE'], ['World', '55.48', '08/07/2016', 'Sarah Sjostrom', 'SWE'], ['American', '55.98', '07/29/2012', 'Dana Vollmer', 'USA Olympic Team'], ['U.S. Open', '56.38', '01/15/2016', 'Sarah Sjostrom', 'SWE']]",[]
18,2018 Phillips 66 Nationals  ,Butterfly,Men,100,"[['World', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '07/09/2009', 'Michael Phelps', 'North Baltimore'], ['World', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['American', '49.82', '08/01/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '50.22', '07/09/2009', 'Michael Phelps', 'North Baltimore']]",[]
19,2018 Phillips 66 Nationals  ,Breaststroke,Women,50,"[['World', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['U.S. Open', '29.62', '06/10/2018', 'Lilly King', 'Indiana'], ['World', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['American', '29.40', '07/30/2017', 'Lilly King', 'USA'], ['U.S. Open', '29.62', '06/10/2018', 'Lilly King', 'Indiana']]",[]
20,2018 Phillips 66 Nationals  ,Breaststroke,Men,50,"[['World', '25.95', '07/25/2017', 'Adam Peaty', 'GBR'], ['American', '26.76', '08/04/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.84', '07/27/2018', 'Michael Andrew', 'Race Pace Club-M'], ['World', '25.95', '07/25/2017', 'Adam Peaty', 'GBR'], ['American', '26.76', '08/04/2015', 'Kevin Cordes', 'USA'], ['U.S. Open', '26.84', '07/27/2018', 'Michael Andrew', 'Race Pace Club-M']]",[]
21,2018 Phillips 66 Nationals  ,Backstroke,Women,50,"[['World', '27.06', '07/30/2009', 'Jing Zhao', 'CHN'], ['American', '27.43', '04/14/2018', 'Olivia Smoligna', 'ABSC'], ['U.S. Open', '27.43', '04/14/2018', 'Olivia Smoligna', 'ABSC'], ['World', '27.06', '07/30/2009', 'Jing Zhao', 'CHN'], ['American', '27.43', '04/14/2018', 'Olivia Smoligna', 'ABSC'], ['U.S. Open', '27.43', '04/14/2018', 'Olivia Smoligna', 'ABSC']]",[]
22,2018 Phillips 66 Nationals  ,Backstroke,Men,50,"[['World', '24.04', '08/02/2009', 'Liam Tancock', 'GBR'], ['American', '24.24', '07/27/2018', 'Ryan Murphy', 'California Aquat'], ['U.S. Open', '24.24', '07/27/2018', 'Ryan Murphy', 'California Aquat'], ['World', '24.04', '08/02/2009', 'Liam Tancock', 'GBR'], ['American', '24.24', '07/27/2018', 'Ryan Murphy', 'California Aquat'], ['U.S. Open', '24.24', '07/27/2018', 'Ryan Murphy', 'California Aquat']]",[]
23,2018 Phillips 66 Nationals  ,Freestyle,Women,400,"[['World', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '05/17/2018', 'Katie Ledecky', 'Stanford'], ['World', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '08/07/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '05/17/2018', 'Katie Ledecky', 'Stanford']]",[]
24,2018 Phillips 66 Nationals  ,Freestyle,Men,400,"[['World', '3:40.07', '07/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '08/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '06/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '07/26/2009', 'Paul Biederman', 'GER'], ['American', '3:42.78', '08/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '06/29/2008', 'Larsen Jensen', 'Trojan']]",[]
25,2018 Phillips 66 Nationals  ,Breaststroke,Women,100,"[['World', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '08/07/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '07/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '08/07/2009', 'Jessica Hardy', 'Trojan']]",[]
26,2018 Phillips 66 Nationals  ,Breaststroke,Men,100,"[['World', '57.13', '08/07/2016', 'Adam Peaty', 'GBR'], ['American', '58.64', '07/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '06/30/2017', 'Kevin Cordes', 'Unattached-SE'], ['World', '57.13', '08/07/2016', 'Adam Peaty', 'GBR'], ['American', '58.64', '07/23/2017', 'Kevin Cordes', 'USA'], ['U.S. Open', '58.74', '06/30/2017', 'Kevin Cordes', 'Unattached-SE']]",[]
27,2018 Phillips 66 Nationals  ,Backstroke,Women,100,"[['World', '58.00', '07/28/2018', 'Kathleen Baker', 'Team Elite-NC'], ['American', '58.00', '07/28/2018', 'Kathleen Baker', 'Team Elite-NC'], ['U.S. Open', '58.00', '07/28/2018', 'Kathleen Baker', 'Team Elite-NC'], ['World', '58.00', '07/28/2018', 'Kathleen Baker', 'Team Elite-NC'], ['American', '58.00', '07/28/2018', 'Kathleen Baker', 'Team Elite-NC'], ['U.S. Open', '58.00', '07/28/2018', 'Kathleen Baker', 'Team Elite-NC']]",[]
28,2018 Phillips 66 Nationals  ,Backstroke,Men,100,"[['World', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '07/08/2009', 'Aaron Peirsol', 'Longhorn'], ['World', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['American', '51.85', '08/13/2016', 'Ryan Murphy', 'USA'], ['U.S. Open', '51.94', '07/08/2009', 'Aaron Peirsol', 'Longhorn']]",[]
29,2018 Phillips 66 Nationals  ,Freestyle,Women,1500,"[['World', '15:20.48', '05/17/2018', 'Katie Ledecky', 'Stanford'], ['American', '15:20.48', '05/17/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '05/17/2018', 'Katie Ledecky', 'Stanford']]",[]
30,2018 Phillips 66 Nationals  ,IM,Women,200,"[['World', '2:06.12', '08/03/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '07/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.32', '07/29/2018', 'Kathleen Baker', 'Team Elite-NC'], ['World', '2:06.12', '08/03/2015', 'Katinka Hosszu', 'HUN'], ['American', '2:06.15', '07/27/2009', 'Ariana Kukors', 'USA'], ['U.S. Open', '2:08.32', '07/29/2018', 'Kathleen Baker', 'Team Elite-NC']]",[]
31,2018 Phillips 66 Nationals  ,IM,Men,200,"[['World', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '07/10/2009', 'Ryan Lochte', 'Daytona Beach'], ['World', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['American', '1:54.00', '07/28/2011', 'Ryan Lochte', 'USA'], ['U.S. Open', '1:54.56', '07/10/2009', 'Ryan Lochte', 'Daytona Beach']]",[]
32,2018 Phillips 66 Nationals  ,Freestyle,Men,800,"[['World', '7:32.12', '07/29/2009', 'Lin Zhang', 'CHN'], ['American', '7:43.60', '07/31/2013', 'Michael McBroom', 'USA'], ['U.S. Open', '7:44.57', '07/29/2018', 'Zane Grothe', 'Mission Viejo Na']]",[]
33,2018 Phillips 66 Nationals  ,Freestyle,Women,50,"[['World', '23.67', '07/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '07/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.10', '07/29/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '23.67', '07/29/2017', 'Sarah Sjostrom', 'SWE'], ['American', '23.97', '07/30/2017', 'Simone Manuel', 'USA'], ['U.S. Open', '24.10', '07/29/2018', 'Simone Manuel', 'Stanford Swimmin']]",[]
34,2018 Phillips 66 Nationals  ,Freestyle,Men,50,"[['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.15', '07/29/2017', 'Caeleb Dressel', 'USA'], ['World', '20.91', '12/18/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '21.15', '07/29/2017', 'Caeleb Dressel', 'USA']]",[]
