event,meet,stroke,gender,distance,records,entries
1,Complete Results Westmont,Freestyle,Women,1500,"[['World', '15:20.48', '5/16/2018', 'Katie Ledecky', 'USA'], ['American', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['U.S. Open', '15:20.48', '5/17/2018', 'Katie Ledecky', 'Stanford']]",[]
2,Complete Results Westmont,Freestyle,Men,1500,"[['World', '14:31.02', '8/4/2012', 'Yang Sun', 'CHN'], ['American', '14:39.48', '8/13/2016', 'Connor Jaeger', 'USA'], ['U.S. Open', '14:45.54', '7/6/2008', 'Peter Vanderkaay', 'Club Wolverine']]",[]
3,Complete Results Westmont,Freestyle,Women,100,"[['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin'], ['World', '51.71', '7/23/2017', 'Sarah Sjostrom', 'SWE'], ['American', '52.04', '7/26/2019', 'Simone Manuel', 'USA'], ['U.S. Open', '52.54', '7/25/2018', 'Simone Manuel', 'Stanford Swimmin']]",[]
4,Complete Results Westmont,Freestyle,Men,100,"[['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA'], ['World', '46.91', '7/30/2009', 'Cesar Cielo', 'Filho BRA'], ['American', '46.96', '7/25/2019', 'Caeleb Dressel', 'USA']]",[]
5,Complete Results Westmont,Breaststroke,Women,100,"[['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan'], ['World', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['American', '1:04.13', '7/25/2017', 'Lilly King', 'USA'], ['U.S. Open', '1:04.45', '8/7/2009', 'Jessica Hardy', 'Trojan']]",[]
6,Complete Results Westmont,Breaststroke,Men,100,"[['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['World', '56.88', '7/21/2019', 'Adam Peaty', 'GBR'], ['American', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S'], ['U.S. Open', '58.14', '6/13/2021', 'Michael Andrew', 'Race Pace Club-S']]",[]
7,Complete Results Westmont,Butterfly,Women,200,"[['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.85', '6/17/2021', 'Hali Flickinger', 'Sun Devil-AZ'], ['World', '2:01.81', '10/21/2009', 'Zige Liu', 'CHN'], ['American', '2:04.14', '7/30/2009', 'Mary Descenza', 'USA'], ['U.S. Open', '2:05.85', '6/17/2021', 'Hali Flickinger', 'Sun Devil-AZ']]",[]
8,Complete Results Westmont,Butterfly,Men,200,"[['World', '1:50.73', '7/24/2019', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:50.73', '7/24/2019', 'Kristof Milak', 'HUN'], ['American', '1:51.51', '7/29/2009', 'Michael Phelps', 'USA'], ['U.S. Open', '1:52.20', '7/2/2008', 'Michael Phelps', 'Club Wolverine']]",[]
9,Complete Results Westmont,Freestyle,Women,400,"[['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford'], ['World', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['American', '3:56.46', '8/7/2016', 'Katie Ledecky', 'USA'], ['U.S. Open', '3:57.94', '5/17/2018', 'Katie Ledecky', 'Stanford']]",[]
10,Complete Results Westmont,Freestyle,Men,400,"[['World', '3:40.07', '7/26/2009', 'Paul Biedermann', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan'], ['World', '3:40.07', '7/26/2009', 'Paul Biedermann', 'GER'], ['American', '3:42.78', '8/10/2008', 'Larsen Jensen', 'USA'], ['U.S. Open', '3:43.53', '6/29/2008', 'Larsen Jensen', 'Trojan']]",[]
11,Complete Results Westmont,Freestyle,Women,200,"[['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore'], ['World', '1:52.98', '7/29/2009', 'Federica Pellegrini', 'ITA'], ['American', '1:53.61', '7/31/2012', 'Allison Schmitt', 'USA Olympic Team'], ['U.S. Open', '1:54.40', '6/25/2012', 'Allison Schmitt', 'North Baltimore']]",[]
12,Complete Results Westmont,Freestyle,Men,200,"[['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine'], ['World', '1:42.00', '7/28/2009', 'Paul Biedermann', 'GER'], ['American', '1:42.96', '8/12/2008', 'Michael Phelps', 'USA'], ['U.S. Open', '1:44.10', '7/1/2008', 'Michael Phelps', 'Club Wolverine']]",[]
